seed,K,M,mv,isp,gap
1028,8,10000,0.9475,0.962,0.014499999999999957
1029,8,10000,0.9473,0.9594,0.0121
1030,8,10000,0.9488,0.9598,0.01100000000000001
1031,8,10000,0.9456,0.9608,0.015199999999999991
1032,8,10000,0.9512,0.9628,0.011599999999999944
1033,8,10000,0.9458,0.9617,0.015900000000000025
1034,8,10000,0.9517,0.9651,0.013399999999999967
1035,8,10000,0.946,0.9624,0.01640000000000008
1036,8,10000,0.9463,0.9594,0.0131
1037,8,10000,0.9519,0.9629,0.01100000000000001
1038,8,10000,0.9501,0.9624,0.012300000000000089
1039,8,10000,0.9473,0.9598,0.012499999999999956
1040,8,10000,0.9473,0.9605,0.01319999999999999
1041,8,10000,0.9484,0.9624,0.014000000000000012
1042,8,10000,0.948,0.9624,0.01440000000000008
1043,8,10000,0.9472,0.9598,0.012599999999999945
1044,8,10000,0.9441,0.9591,0.014999999999999902
1045,8,10000,0.9478,0.9625,0.014700000000000046
1046,8,10000,0.9453,0.9605,0.015199999999999991
1047,8,10000,0.9489,0.9612,0.012300000000000089
1048,8,10000,0.9484,0.9612,0.012800000000000034
1049,8,10000,0.95,0.9631,0.0131
1050,8,10000,0.9453,0.9607,0.01539999999999997
1051,8,10000,0.9481,0.9622,0.014100000000000001
1052,8,10000,0.9475,0.9621,0.014599999999999946
1053,8,10000,0.9448,0.9608,0.016000000000000014
1054,8,10000,0.9438,0.9607,0.016900000000000026
1055,8,10000,0.9467,0.959,0.012299999999999978
1056,8,10000,0.946,0.9591,0.0131
1057,8,10000,0.9477,0.9605,0.012800000000000034
1058,8,10000,0.9449,0.9604,0.01550000000000007
1059,8,10000,0.9455,0.962,0.01649999999999996
1060,8,10000,0.95,0.9644,0.01440000000000008
1061,8,10000,0.9476,0.9612,0.013600000000000056
1062,8,10000,0.9478,0.959,0.011199999999999988
1063,8,10000,0.9434,0.9571,0.013699999999999934
1064,8,10000,0.9517,0.962,0.010299999999999976
1065,8,10000,0.9465,0.9586,0.0121
1066,8,10000,0.9441,0.9608,0.016699999999999937
1067,8,10000,0.9459,0.9575,0.011600000000000055
1068,8,10000,0.9477,0.9626,0.014900000000000024
1069,8,10000,0.9531,0.964,0.01090000000000002
1070,8,10000,0.9466,0.9602,0.013600000000000056
1071,8,10000,0.9471,0.9612,0.014100000000000001
1072,8,10000,0.9495,0.9622,0.012700000000000045
1073,8,10000,0.9478,0.9593,0.011500000000000066
1074,8,10000,0.9491,0.9614,0.012299999999999978
1075,8,10000,0.9471,0.9592,0.0121
1076,8,10000,0.9475,0.9631,0.015599999999999947
1077,8,10000,0.9451,0.958,0.012899999999999912
1078,8,10000,0.9455,0.9598,0.01429999999999998
1079,8,10000,0.9483,0.9612,0.012900000000000023
1080,8,10000,0.9474,0.9633,0.015900000000000025
1081,8,10000,0.9436,0.9592,0.015600000000000058
1082,8,10000,0.9492,0.9605,0.011299999999999977
1083,8,10000,0.9474,0.961,0.013599999999999945
1084,8,10000,0.9468,0.9629,0.016100000000000003
1085,8,10000,0.9509,0.9639,0.013000000000000012
1086,8,10000,0.9471,0.9627,0.015599999999999947
1087,8,10000,0.9435,0.9559,0.012399999999999967
1088,8,10000,0.946,0.9566,0.010600000000000054
1000,10,10000,0.9527,0.9643,0.011600000000000055
1001,10,10000,0.9483,0.9601,0.011799999999999922
1002,10,10000,0.9536,0.9654,0.011800000000000033
1003,10,10000,0.9514,0.9652,0.013799999999999923
1004,10,10000,0.9522,0.9635,0.011299999999999977
1005,10,10000,0.9518,0.9662,0.014399999999999968
1006,10,10000,0.9516,0.9629,0.011299999999999977
1007,10,10000,0.9495,0.9611,0.011599999999999944
1008,10,10000,0.948,0.961,0.013000000000000012
1009,10,10000,0.95,0.9618,0.011800000000000033
1010,10,10000,0.9534,0.9666,0.01319999999999999
1011,10,10000,0.9514,0.9644,0.013000000000000012
1012,10,10000,0.9536,0.9637,0.010099999999999998
1013,10,10000,0.9523,0.9642,0.01189999999999991
1014,10,10000,0.9498,0.9602,0.010400000000000076
1015,10,10000,0.9525,0.9637,0.011199999999999988
1016,10,10000,0.951,0.9621,0.011099999999999999
1017,10,10000,0.9539,0.9657,0.011800000000000033
1018,10,10000,0.9517,0.9621,0.010399999999999965
1019,10,10000,0.9548,0.9668,0.01200000000000001
1020,10,10000,0.9487,0.9627,0.014000000000000012
1021,10,10000,0.9494,0.9591,0.009699999999999931
1022,10,10000,0.9514,0.9635,0.0121
1023,10,10000,0.9489,0.9644,0.01550000000000007
1024,10,10000,0.9527,0.9611,0.008399999999999963
1025,10,10000,0.9509,0.9649,0.014000000000000012
1026,10,10000,0.9526,0.9645,0.011900000000000022
1027,10,10000,0.9571,0.9684,0.011300000000000088
1028,10,10000,0.9513,0.961,0.009699999999999931
1029,10,10000,0.9501,0.9618,0.011700000000000044
1030,10,10000,0.953,0.9665,0.013500000000000068
1031,10,10000,0.949,0.9628,0.013800000000000034
1032,10,10000,0.9568,0.9666,0.009800000000000031
1033,10,10000,0.9519,0.965,0.0131
1034,10,10000,0.9522,0.9631,0.01089999999999991
1035,10,10000,0.9507,0.9619,0.011199999999999988
1036,10,10000,0.9549,0.9651,0.010199999999999987
1037,10,10000,0.9511,0.9622,0.01110000000000011
1038,10,10000,0.953,0.9654,0.012400000000000078
1039,10,10000,0.9526,0.9624,0.009800000000000031
1040,10,10000,0.9506,0.963,0.012399999999999967
1041,10,10000,0.9527,0.9632,0.010499999999999954
1042,10,10000,0.9527,0.9656,0.012900000000000023
1043,10,10000,0.95,0.965,0.015000000000000013
1044,10,10000,0.9553,0.9655,0.010199999999999987
1045,10,10000,0.9508,0.9651,0.01429999999999998
1046,10,10000,0.9508,0.9595,0.008700000000000041
1047,10,10000,0.951,0.9629,0.011900000000000022
1048,10,10000,0.9535,0.964,0.010499999999999954
1049,10,10000,0.9492,0.962,0.012799999999999923
1050,10,10000,0.9536,0.9642,0.010599999999999943
1051,10,10000,0.9567,0.9663,0.009600000000000053
1052,10,10000,0.9557,0.9661,0.010399999999999965
1053,10,10000,0.9512,0.9645,0.013299999999999979
1054,10,10000,0.9534,0.9663,0.012900000000000023
1055,10,10000,0.9483,0.962,0.013699999999999934
1056,10,10000,0.9502,0.9647,0.014499999999999957
1057,10,10000,0.9524,0.9626,0.010199999999999987
1058,10,10000,0.9555,0.9653,0.009800000000000031
1059,10,10000,0.952,0.9685,0.01650000000000007
1060,10,10000,0.9522,0.9659,0.013699999999999934
1061,10,10000,0.955,0.967,0.01200000000000001
1062,10,10000,0.9511,0.9653,0.014200000000000101
1063,10,10000,0.9503,0.9634,0.0131
1064,10,10000,0.9577,0.9658,0.008099999999999996
1065,10,10000,0.9524,0.9639,0.011499999999999955
1066,10,10000,0.9521,0.9664,0.01430000000000009
1067,10,10000,0.9535,0.9629,0.009399999999999964
1068,10,10000,0.9517,0.9603,0.008600000000000052
1069,10,10000,0.9526,0.9639,0.011299999999999977
1070,10,10000,0.9558,0.9684,0.012600000000000056
1071,10,10000,0.9526,0.9641,0.011499999999999955
1072,10,10000,0.9549,0.9654,0.010500000000000065
1073,10,10000,0.9527,0.9639,0.011199999999999988
1074,10,10000,0.9494,0.9615,0.0121
1075,10,10000,0.9494,0.9637,0.01429999999999998
1076,10,10000,0.9512,0.9651,0.013899999999999912
1077,10,10000,0.9506,0.9623,0.011700000000000044
1078,10,10000,0.953,0.9636,0.010600000000000054
1079,10,10000,0.9519,0.9637,0.011800000000000033
1080,10,10000,0.9527,0.9642,0.011499999999999955
1081,10,10000,0.9493,0.9588,0.009499999999999953
1082,10,10000,0.9498,0.9645,0.014700000000000046
1083,10,10000,0.9524,0.9626,0.010199999999999987
1084,10,10000,0.9508,0.9665,0.015700000000000047
1085,10,10000,0.9524,0.9635,0.011099999999999999
1086,10,10000,0.953,0.9641,0.011099999999999999
1087,10,10000,0.9502,0.9639,0.013699999999999934
1088,10,10000,0.9496,0.9648,0.015199999999999991
1000,12,10000,0.9542,0.9674,0.01319999999999999
1001,12,10000,0.9562,0.9627,0.00649999999999995
1002,12,10000,0.9548,0.9678,0.013000000000000012
1003,12,10000,0.953,0.9659,0.012900000000000023
1004,12,10000,0.9528,0.9634,0.010600000000000054
1005,12,10000,0.9529,0.9634,0.010500000000000065
1006,12,10000,0.9572,0.9683,0.011099999999999999
1007,12,10000,0.9541,0.9632,0.009099999999999997
1008,12,10000,0.953,0.9652,0.012199999999999989
1009,12,10000,0.958,0.9674,0.009400000000000075
1010,12,10000,0.9517,0.9648,0.0131
1011,12,10000,0.9542,0.9636,0.009399999999999964
1012,12,10000,0.9557,0.9676,0.011900000000000022
1013,12,10000,0.9534,0.9644,0.01100000000000001
1014,12,10000,0.955,0.9667,0.011700000000000044
1015,12,10000,0.9535,0.9686,0.015100000000000002
1016,12,10000,0.9525,0.9642,0.011699999999999933
1017,12,10000,0.9529,0.9668,0.013900000000000023
1018,12,10000,0.9545,0.9663,0.011800000000000033
1019,12,10000,0.958,0.9653,0.007300000000000084
1020,12,10000,0.9553,0.9672,0.01189999999999991
1021,12,10000,0.9547,0.9683,0.013600000000000056
1022,12,10000,0.9541,0.9623,0.008200000000000096
1023,12,10000,0.9563,0.9639,0.00759999999999994
1024,12,10000,0.9516,0.9639,0.012299999999999978
1025,12,10000,0.957,0.968,0.01100000000000001
1026,12,10000,0.9517,0.9645,0.012800000000000034
1027,12,10000,0.9541,0.9636,0.009500000000000064
1028,12,10000,0.9554,0.9696,0.01419999999999999
1029,12,10000,0.9539,0.9673,0.013400000000000079
1030,12,10000,0.9573,0.9667,0.009399999999999964
1031,12,10000,0.9517,0.9591,0.007399999999999962
1032,12,10000,0.9544,0.9671,0.012699999999999934
1033,12,10000,0.9611,0.9688,0.00770000000000004
1034,12,10000,0.957,0.9663,0.009300000000000086
1035,12,10000,0.9566,0.9661,0.009499999999999953
1036,12,10000,0.9526,0.9641,0.011499999999999955
1037,12,10000,0.9559,0.967,0.011099999999999999
1038,12,10000,0.955,0.966,0.01100000000000001
1039,12,10000,0.9574,0.9663,0.008900000000000019
1040,12,10000,0.9572,0.9666,0.009399999999999964
1041,12,10000,0.9536,0.9648,0.011199999999999988
1042,12,10000,0.9563,0.9651,0.008799999999999919
1043,12,10000,0.9538,0.9652,0.011399999999999966
1044,12,10000,0.953,0.9625,0.009500000000000064
1045,12,10000,0.9542,0.9644,0.010199999999999987
1046,12,10000,0.9533,0.967,0.013699999999999934
1047,12,10000,0.955,0.965,0.010000000000000009
1048,12,10000,0.9551,0.9631,0.008000000000000007
1049,12,10000,0.9533,0.9658,0.012499999999999956
1050,12,10000,0.9523,0.9642,0.01189999999999991
1051,12,10000,0.9546,0.9623,0.00770000000000004
1052,12,10000,0.9543,0.967,0.012699999999999934
1053,12,10000,0.9559,0.9666,0.010700000000000043
1054,12,10000,0.9539,0.9643,0.010400000000000076
1055,12,10000,0.9552,0.9682,0.0129999999999999
1056,12,10000,0.9591,0.9695,0.010400000000000076
1057,12,10000,0.9559,0.966,0.010099999999999998
1058,12,10000,0.9578,0.9711,0.013299999999999979
1059,12,10000,0.9546,0.9656,0.01100000000000001
1060,12,10000,0.9537,0.9626,0.008900000000000019
1061,12,10000,0.955,0.9668,0.011800000000000033
1062,12,10000,0.9573,0.9671,0.00979999999999992
1063,12,10000,0.9532,0.9639,0.010699999999999932
1064,12,10000,0.9601,0.9725,0.012400000000000078
1065,12,10000,0.9543,0.9629,0.008599999999999941
1066,12,10000,0.9511,0.9634,0.012300000000000089
1067,12,10000,0.9554,0.965,0.009599999999999942
1068,12,10000,0.9571,0.9656,0.008500000000000063
1069,12,10000,0.9527,0.9649,0.012199999999999989
1070,12,10000,0.9568,0.9685,0.011700000000000044
1071,12,10000,0.9584,0.9679,0.009499999999999953
1072,12,10000,0.9578,0.9673,0.009500000000000064
1073,12,10000,0.9552,0.9646,0.009399999999999964
1074,12,10000,0.9566,0.9673,0.010700000000000043
1075,12,10000,0.9533,0.9632,0.009899999999999909
1076,12,10000,0.9532,0.9619,0.00869999999999993
